timestamp,user_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,latitude,longitude
2022-06-08 21:13:00.518531,10,-3.790417786,4.129462738,6.701863403,-0.8562295437,-0.1515797824,-0.3018162847,37.72304966,15.18096287
2022-06-08 21:13:00.568274,10,-1.863474884,4.714745636,11.27769791,-0.6124370098,0.4822051227,-1.597588778,37.72304966,15.18096287
2022-06-08 21:13:00.618017,10,-1.031205597,3.901786194,7.007078705,-2.331904173,-0.1640306413,-1.428951025,37.72304966,15.18096287
2022-06-08 21:13:00.667761,10,-3.933669891,2.582130432,6.019731903,-3.097597122,-4.381784916,0.6772533655,37.72304966,15.18096287
2022-06-08 21:13:00.717504,10,1.219514008,0.757275238,11.08459946,0.7859761119,-0.2976674736,0.2432154268,37.72304966,15.18096287
2022-06-08 21:13:00.767247,10,1.749861145,0.06601272583,11.12965576,0.3099013865,-1.762030721,-1.150526047,37.72304966,15.18096287
2022-06-08 21:13:00.816990,10,0.8806187439,3.278332672,4.994214478,0.531596005,-3.463857412,-1.037755013,37.72304966,15.18096287
2022-06-08 21:13:00.866733,10,-0.9595046997,0.953966217,3.159330139,-0.474378705,-2.292107821,-0.2843750119,37.72304966,15.18096287
2022-06-08 21:13:00.916477,10,3.879781952,2.764301605,2.175426178,-0.8463079333,-3.474596977,-0.9226630926,37.72304966,15.18096287
2022-06-08 21:13:00.966220,10,3.759881287,-0.2477348328,4.838238831,-0.5811736584,-3.060748339,0.2290604115,37.72304966,15.18096287
2022-06-08 21:13:01.015963,10,5.491480408,-0.2079176331,3.840862885,0.266405493,-4.910918236,1.107768655,37.72304966,15.18096287
2022-06-08 21:13:01.065706,10,7.671696625,-1.580114136,4.713548126,-0.1656606197,-5.074273109,1.706840515,37.72304966,15.18096287
2022-06-08 21:13:01.115449,10,9.935738525,-6.195765839,5.310806122,-1.565340281,-3.508660555,2.923010111,37.72304966,15.18096287
2022-06-08 21:13:01.165193,10,14.02433624,-6.751260681,4.762047272,-2.706890345,-1.387277007,3.089555502,37.72304966,15.18096287
2022-06-08 21:13:01.214936,10,16.1708725,-10.19470001,12.55559052,-0.7911172509,-1.108058453,2.687130213,37.72304966,15.18096287
2022-06-08 21:13:01.264679,10,17.90995605,-4.391118622,11.42678787,-0.05590628088,-0.5641059279,1.65621686,37.72304966,15.18096287
2022-06-08 21:13:01.314422,10,14.35350174,-1.369801483,7.604486389,0.2831213474,0.07915445417,0.5056256056,37.72304966,15.18096287
2022-06-08 21:13:01.364165,10,11.94501022,-0.9645941162,5.45031601,0.543957293,-0.0763630271,-0.1965256482,37.72304966,15.18096287
2022-06-08 21:13:01.413909,10,9.861792297,-1.472787323,3.526965637,0.4420138299,0.0897577107,-0.7393977642,37.72304966,15.18096287
2022-06-08 21:13:01.463652,10,8.611292725,-1.760489044,3.66003891,0.6533354521,0.2434340566,-1.044077635,37.72304966,15.18096287
2022-06-08 21:13:01.513395,10,7.864944763,-2.005230103,2.403701477,0.5814439058,0.07703313231,-1.156167269,37.72304966,15.18096287
2022-06-08 21:13:01.563138,10,7.448211365,-2.943179626,2.928809509,0.7619703412,0.4119731188,-1.113187194,37.72304966,15.18096287
2022-06-08 21:13:01.612882,10,8.739875336,-3.322490845,2.832110596,0.8883267641,-0.1900170743,-1.294765711,37.72304966,15.18096287
2022-06-08 21:13:01.662625,10,9.388476563,-5.229525146,2.567610626,0.4546904266,0.008267583326,-1.393320918,37.72304966,15.18096287
2022-06-08 21:13:01.712368,10,10.39603134,-6.763684845,2.141147461,0.3297814727,-0.007821002975,-1.297455549,37.72304966,15.18096287
2022-06-08 21:13:01.762111,10,8.512947235,-7.065457306,0.7611671448,-0.6358776093,0.294408977,-0.8208611012,37.72304966,15.18096287
2022-06-08 21:13:01.811854,10,7.17023941,-10.47925827,0.9756710815,-0.5599362254,-0.2434530556,-0.1575358957,37.72304966,15.18096287
2022-06-08 21:13:01.861598,10,7.792196045,-7.759563904,-0.1222956848,-0.8198327422,0.2010605931,0.253067404,37.72304966,15.18096287
